arm,model,subject,mode,f1,crit_err
C,RF,9,unsmoothed,0.7799636207658348,0.096
C,RF,9,smoothed,0.8891341841655019,0.008
C,RF,10,unsmoothed,0.7382876780464355,0.0
C,RF,10,smoothed,0.8459067858005312,0.0
C,RF,11,unsmoothed,0.8568400332837391,0.0
C,RF,11,smoothed,0.9921640853682553,0.0
C,RF,12,unsmoothed,0.8149277876966663,0.025974025974025976
C,RF,12,smoothed,0.9627318761186489,0.0
C,RF,13,unsmoothed,0.8965762190762191,0.09009009009009009
C,RF,13,smoothed,0.9954545454545455,0.0
C,RF,14,unsmoothed,0.7711021683080721,0.11278195488721804
C,RF,14,smoothed,0.9020379970874169,0.015037593984962405
C,RF,15,unsmoothed,0.7835793712706154,0.03614457831325301
C,RF,15,smoothed,0.9755035757269788,0.0
C,RF,16,unsmoothed,0.8355576483872889,0.12087912087912088
C,RF,16,smoothed,0.9487028475521916,0.06593406593406594
C,RF,17,unsmoothed,0.7829022437545126,0.0380952380952381
C,RF,17,smoothed,0.9336985799830696,0.009523809523809525
C,RF,18,unsmoothed,0.7703538754826219,0.19767441860465115
C,RF,18,smoothed,0.9207248895992658,0.09302325581395349
C,RF,19,unsmoothed,0.7799199284590528,0.11214953271028037
C,RF,19,smoothed,0.9461890914178358,0.0
C,RF,20,unsmoothed,0.6827689585011569,0.0
C,RF,20,smoothed,0.8385109948833241,0.0
C,RF,21,unsmoothed,0.7942523900240688,0.020833333333333332
C,RF,21,smoothed,0.9364469814910914,0.0
C,RF,22,unsmoothed,0.7366067642150091,0.0873015873015873
C,RF,22,smoothed,0.8713108536583495,0.007936507936507936
C,RF,23,unsmoothed,0.7305645669132046,0.1111111111111111
C,RF,23,smoothed,0.831723235445122,0.027777777777777776
C,RF,24,unsmoothed,0.7449661101196623,0.11538461538461539
C,RF,24,smoothed,0.9311532344846938,0.0
C,RF,25,unsmoothed,0.779662855593143,0.16279069767441862
C,RF,25,smoothed,0.9368313291164126,0.023255813953488372
C,RF,26,unsmoothed,0.7152486610417648,0.30935251798561153
C,RF,26,smoothed,0.8233219703189485,0.19424460431654678
C,RF,27,unsmoothed,0.827541169893101,0.03225806451612903
C,RF,27,smoothed,0.9123581054720253,0.0
C,RF,28,unsmoothed,0.7821384123692944,0.08928571428571429
C,RF,28,smoothed,0.919796135263435,0.026785714285714284
C,RF,29,unsmoothed,0.7418081158937451,0.11320754716981132
C,RF,29,smoothed,0.8964547225951681,0.03773584905660377
C,RF,30,unsmoothed,0.815420191924198,0.0989010989010989
C,RF,30,smoothed,0.9661341467684099,0.01098901098901099
C,RF,31,unsmoothed,0.706385129084563,0.09574468085106383
C,RF,31,smoothed,0.8836030839364728,0.010638297872340425
C,RF,32,unsmoothed,0.7675591337772055,0.13392857142857142
