buffer,k,variant,subject,f1,crit_err,n_scored
25,7,vote,24,0.9302418861925625,0.0,628
25,7,vote,25,0.9782033786558673,0.0,591
25,7,vote,26,0.8098902113536086,0.03007518796992481,764
25,7,vote,27,0.9525195073012097,0.0,669
25,7,vote,28,0.9533077159240251,0.0,675
25,7,vote,29,0.8342282717282717,0.0,711
25,7,vote,30,0.9581404320987654,0.047058823529411764,629
25,7,vote,31,0.8622471940891198,0.0,733
25,7,vote,32,0.9654376491502182,0.0,661
25,7,vote,33,0.9083776499529701,0.0,667
25,7,vote,34,0.9323131179960449,0.0,607
25,7,vote,35,0.8659429147857546,0.0918918918918919,827
25,7,vote,36,0.9103755111438252,0.011363636363636364,709
25,7,vote,37,0.7768841075632112,0.0,655
25,7,vote,38,0.9737973966523409,0.0,646
25,7,vote,39,0.8772338266583154,0.0,668
25,7,vote,40,0.7521138990125533,0.0,623
25,7,probavg,1,0.7268150622117007,0.0,665
25,7,probavg,2,0.985465869980372,0.0,495
25,7,probavg,3,0.9436065877449691,0.0,569
25,7,probavg,4,0.9527002442954416,0.0,531
25,7,probavg,5,0.8756727500962069,0.033783783783783786,683
25,7,probavg,6,0.9487264325038145,0.0,558
25,7,probavg,7,0.8233184502202215,0.0,575
25,7,probavg,8,0.9829907623400467,0.0,549
25,7,probavg,9,0.9484608409738896,0.0,566
25,7,probavg,10,0.8726949949264357,0.0,484
25,7,probavg,11,0.9980050020357122,0.0,493
25,7,probavg,12,0.9979999777775309,0.0,482
25,7,probavg,13,0.9945835760046593,0.0,727
25,7,probavg,14,0.9415010933965853,0.0,750
25,7,probavg,15,0.9908234950937097,0.0,585
25,7,probavg,16,0.9742328591698995,0.0,656
25,7,probavg,17,0.8996544059675464,0.0,678
25,7,probavg,18,0.8837331996651793,0.05,615
25,7,probavg,19,0.9859694012157025,0.009900990099009901,691
25,7,probavg,20,0.8742647276166828,0.0,574
25,7,probavg,21,0.9889472398632144,0.0,582
25,7,probavg,22,0.9620053597360003,0.0,697
25,7,probavg,23,0.8611806218097513,0.0,679
25,7,probavg,24,0.9331710843537168,0.0,628
25,7,probavg,25,0.9747215853259089,0.0,591
25,7,probavg,26,0.8697878921536554,0.007518796992481203,764
25,7,probavg,27,0.9577246249528887,0.0,669
25,7,probavg,28,0.9841665504292579,0.0,675
25,7,probavg,29,0.8406065293840184,0.0,711
25,7,probavg,30,0.9840313602608685,0.0,629
25,7,probavg,31,0.9075130672208858,0.0,733
25,7,probavg,32,0.9852304196283946,0.0,661
25,7,probavg,33,0.9102304750402577,0.0,667
25,7,probavg,34,0.9614364703214057,0.0,607
25,7,probavg,35,0.9073479827279762,0.05405405405405406,827
25,7,probavg,36,0.9157937641355047,0.0,709
25,7,probavg,37,0.8086552450616433,0.0,655
25,7,probavg,38,0.9622440196573975,0.0,646
25,7,probavg,39,0.9350115518572113,0.0,668
25,7,probavg,40,0.8769236041736042,0.0,623
50,1,vote,1,0.6660219976821689,0.04672897196261682,640
